symbol,interval_sc,open_timestamp_ms,open,high,low,close,volume
BTC-USDT,60,1761384300000,111680.36,111680.36,111605.0,111605.01,4.06782
BTC-USDT,60,1761384360000,111605.01,111605.01,111605.0,111605.0,0.86044
BTC-USDT,60,1761384420000,111605.01,111605.01,111605.0,111605.01,0.29241
BTC-USDT,60,1761384480000,111605.0,111653.32,111605.0,111653.32,4.03025
BTC-USDT,60,1761384540000,111653.31,111668.02,111653.31,111668.02,1.59487
BTC-USDT,60,1761384600000,111668.02,111679.02,111668.02,111679.01,1.55676
BTC-USDT,60,1761384660000,111679.01,111679.02,111659.5,111659.5,2.28608
BTC-USDT,60,1761384720000,111659.5,111659.51,111659.5,111659.5,0.45541
BTC-USDT,60,1761384780000,111659.5,111659.51,111634.04,111634.05,0.82471
BTC-USDT,60,1761384840000,111634.04,111634.05,111616.22,111616.22,1.36205
BTC-USDT,60,1761384900000,111616.23,111683.87,111616.23,111676.93,9.32284
BTC-USDT,60,1761384960000,111676.92,111676.93,111676.92,111676.93,0.6115
BTC-USDT,60,1761385020000,111676.92,111698.93,111676.92,111698.93,1.40391
BTC-USDT,60,1761385080000,111698.93,111754.0,111698.92,111739.31,17.02163
BTC-USDT,60,1761385140000,111739.31,111739.31,111739.3,111739.31,0.52868
BTC-USDT,60,1761385200000,111739.3,111739.31,111726.73,111726.73,1.46732
BTC-USDT,60,1761385260000,111726.74,111726.74,111660.55,111660.55,6.03187
BTC-USDT,60,1761385320000,111660.56,111660.56,111653.92,111653.92,0.63531
BTC-USDT,60,1761385380000,111653.92,111672.96,111653.92,111672.96,2.97045
BTC-USDT,60,1761385440000,111672.96,111733.31,111672.95,111728.85,5.22548
BTC-USDT,60,1761385500000,111728.86,111728.86,111709.91,111709.91,3.41778
BTC-USDT,60,1761385560000,111709.92,111709.92,111660.02,111660.02,1.08786
BTC-USDT,60,1761385620000,111660.03,111666.66,111660.03,111666.65,1.56341
BTC-USDT,60,1761385680000,111666.66,111695.14,111666.09,111666.09,1.97728
BTC-USDT,60,1761385740000,111666.09,111670.22,111605.0,111605.0,19.87966
BTC-USDT,60,1761385800000,111605.01,111605.01,111516.86,111523.5,44.5483
BTC-USDT,60,1761385860000,111523.49,111581.1,111499.28,111570.41,24.61533
BTC-USDT,60,1761385920000,111570.4,111570.4,111512.0,111549.97,16.17866
BTC-USDT,60,1761385980000,111549.96,111549.97,111529.83,111549.95,3.87372
BTC-USDT,60,1761386040000,111549.96,111556.02,111514.06,111517.77,7.80732
BTC-USDT,60,1761386100000,111517.78,111517.78,111491.62,111491.63,11.5578
BTC-USDT,60,1761386160000,111491.63,111517.64,111491.62,111503.78,7.87746
BTC-USDT,60,1761386220000,111503.79,111527.18,111503.79,111527.18,1.2506
BTC-USDT,60,1761386280000,111527.18,111527.18,111516.02,111516.03,0.73558
BTC-USDT,60,1761386340000,111516.02,111521.47,111516.02,111521.47,0.2976
BTC-USDT,60,1761386400000,111521.47,111559.84,111521.47,111548.67,3.85314
BTC-USDT,60,1761386460000,111548.67,111571.69,111548.67,111571.24,2.81822
BTC-USDT,60,1761386520000,111571.23,111600.2,111571.23,111600.2,7.37005
BTC-USDT,60,1761386580000,111600.19,111600.19,111549.39,111549.4,16.01836
BTC-USDT,60,1761386640000,111549.4,111549.4,111526.03,111526.03,1.27803
BTC-USDT,60,1761386700000,111526.03,111526.03,111502.47,111502.48,1.91266
BTC-USDT,60,1761386760000,111502.48,111502.48,111424.98,111454.86,7.22568
BTC-USDT,60,1761386820000,111454.85,111454.86,111413.44,111438.64,8.80139
BTC-USDT,60,1761386880000,111438.63,111454.25,111438.63,111440.97,5.83018
BTC-USDT,60,1761386940000,111440.98,111490.58,111440.97,111444.74,8.35095
BTC-USDT,60,1761387000000,111444.75,111499.65,111440.58,111488.82,3.76134
BTC-USDT,60,1761387060000,111488.82,111488.82,111460.64,111460.64,10.38822
BTC-USDT,60,1761387120000,111460.64,111488.95,111448.0,111488.95,7.30047
BTC-USDT,60,1761387180000,111488.94,111488.95,111375.81,111394.26,9.46604
BTC-USDT,60,1761387240000,111394.26,111427.09,111376.38,111403.15,66.56604
BTC-USDT,60,1761387300000,111403.15,111460.0,111399.88,111459.99,19.4509
BTC-USDT,60,1761387360000,111460.0,111486.52,111459.99,111486.52,1.8462
BTC-USDT,60,1761387420000,111486.51,111499.97,111476.28,111476.28,2.14494
BTC-USDT,60,1761387480000,111476.28,111499.99,111463.19,111499.51,3.04893
BTC-USDT,60,1761387540000,111499.51,111499.51,111494.51,111494.99,1.16112
BTC-USDT,60,1761387600000,111495.0,111550.14,111494.99,111550.14,2.817
BTC-USDT,60,1761387660000,111550.13,111550.14,111517.71,111517.71,15.18771
BTC-USDT,60,1761387720000,111517.71,111538.98,111509.18,111538.98,1.10091
BTC-USDT,60,1761387780000,111538.97,111561.05,111538.97,111561.04,1.16326
BTC-USDT,60,1761387840000,111561.04,111596.21,111561.04,111591.73,14.82263
BTC-USDT,60,1761387900000,111591.73,111591.73,111547.35,111547.35,3.96175
BTC-USDT,60,1761387960000,111547.36,111547.36,111526.78,111526.79,2.16926
BTC-USDT,60,1761388020000,111526.79,111555.79,111526.78,111555.78,3.25174
BTC-USDT,60,1761388080000,111555.79,111572.53,111534.23,111534.23,3.21235
BTC-USDT,60,1761388140000,111534.24,111537.59,111514.94,111514.95,2.22737
BTC-USDT,60,1761388200000,111514.94,111514.94,111460.98,111462.1,5.79087
BTC-USDT,60,1761388260000,111462.09,111480.01,111462.09,111480.0,1.10747
BTC-USDT,60,1761388320000,111480.01,111480.01,111466.12,111469.65,2.93771
BTC-USDT,60,1761388380000,111469.65,111544.65,111469.65,111520.27,5.65201
BTC-USDT,60,1761388440000,111520.27,111554.68,111520.27,111529.13,2.05063
BTC-USDT,60,1761388500000,111529.14,111550.88,111520.0,111550.88,2.77234
BTC-USDT,60,1761388560000,111550.88,111575.36,111550.88,111575.35,3.02865
BTC-USDT,60,1761388620000,111575.35,111613.52,111575.35,111613.51,2.59998
BTC-USDT,60,1761388680000,111613.52,111681.49,111613.51,111656.22,18.53621
BTC-USDT,60,1761388740000,111656.22,111656.23,111656.22,111656.22,0.69515
BTC-USDT,60,1761388800000,111656.23,111656.23,111634.35,111651.11,7.3494
BTC-USDT,60,1761388860000,111651.11,111710.0,111651.11,111709.99,4.61582
BTC-USDT,60,1761388920000,111709.99,111710.0,111682.4,111683.18,26.72742
BTC-USDT,60,1761388980000,111683.18,111687.08,111683.17,111687.08,0.64198
BTC-USDT,60,1761389040000,111687.08,111696.36,111675.9,111675.9,4.67513
BTC-USDT,60,1761389100000,111675.91,111718.99,111662.97,111718.98,8.3869
BTC-USDT,60,1761389160000,111718.99,111718.99,111695.1,111695.1,3.90301
BTC-USDT,60,1761389220000,111695.07,111695.08,111654.92,111654.93,1.93027
